title,rating,ranking,director,actors,country,language,date_sortie,production,synopsis
Les Évadés,9.3,1.0,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",États-Unis,Anglais,1 mars 1995 (France),Castle Rock Entertainment,"Le banquier Andy Dufresne est arrêté pour avoir tué sa femme et son amant. Après une dure adaptation, il tente d'améliorer les conditions de la prison et de redonner de l'espoir à ses compagnons."
Le Parrain,"9,2",2.0,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan']",États-Unis,Anglais,18 octobre 1972 (France),"Forza d'Agrò, Messina, Sicily, Italie",Le patriarche vieillissant d'une dynastie de la mafia New Yorkaise passe le flambeau de son empire clandestin à son fils réticent.
The Dark Knight : Le Chevalier noir,"9,1",3.0,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",États-Unis,Anglais,13 août 2008 (France),"Sociétés de production
Warner Bros.Legendary EntertainmentSyncopy","Lorsqu'une menace mieux connue sous le nom du Joker émerge de son passé mystérieux et déclenche le chaos sur la ville de Gotham, Batman doit faire face au plus grand des défis psychologique et physique afin de combattre l'injustice."
"Le Parrain, 2ᵉ partie","9,0",4.0,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall']",États-Unis,Anglais,27 août 1975 (France),"Le Parrain, 2ème partie","La vie et la carrière de Vito Corleone dans les années 1920 à New York alors que son fils, Michael, élargit et renforce son emprise sur le syndicat du crime familial."
12 Hommes en colère,"9,0",5.0,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']",États-Unis,"Lieux de tournage
New York County Courthouse - 60 Centre Street, Ville de New York, New York, États-Unis",4 septembre 1957 (France),,Un juré réfractaire tente d'empêcher une erreur judiciaire en forçant les autres membres du jury à réexaminer les preuves.
La liste de Schindler,"9,0",6.0,Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']",États-Unis,Anglais,2 mars 1994 (France),Schindler's List,"Dans la Pologne occupée par les Allemands durant la Seconde Guerre mondiale, Oskar Schindler se préoccupe peu à peu de sa main-d'oeuvre juive après avoir été témoin de la persécution des Allemands nazis."
Le Seigneur des anneaux : Le Retour du roi,"9,0",7.0,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']",Nouvelle-Zélande,"Langues
AnglaisQuenyaVieil anglaisSindarin",17 décembre 2003 (France),The Lord of the Rings: The Return of the King,Gandalf et Aragorn mènent le monde des hommes contre l'armée de Sauron pour éloigner son regard de Frodon et Sam lorsqu'ils s'approchent du Mont Destin avec l'Anneau.
Pulp Fiction,"8,9",8.0,Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']",États-Unis,Anglais,26 octobre 1994 (France),"1435 Flower Street, Glendale, Californie, États-Unis","Les vies de deux hommes de main, d'un boxeur, de la femme d'un gangster et de deux braqueurs s'entremêlent dans quatre histoires de violence et de rédemption."
Le Seigneur des anneaux : La Communauté de l'anneau,"8,9",9.0,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']",Nouvelle-Zélande,Anglais,19 décembre 2001 (France),"Sociétés de production
New Line CinemaWingNut FilmsThe Saul Zaentz Company",Un Hobbit du Comté et ses huit compagnons se mettent en route pour détruire le puissant anneau unique et sauver la Terre du Milieu du terrible Sauron.
"Le Bon, la brute, le truand","8,8",10.0,Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",Italie,"Aussi connu sous le nom de
Le Bon, la brute et le truand",8 mars 1968 (France),Arturo González Producciones Cinematográficas,Une arnaque à la chasse aux primes associe deux hommes à une alliance difficile contre un troisième dans une course à la recherche d'une fortune en or enfouie dans un cimetière éloigné.
Forrest Gump,"8,8",11.0,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']",États-Unis,"Aussi connu sous le nom de
Cuộc Đời Forrest Gump",5 octobre 1994 (France),The Steve Tisch Company,"Les présidences de Kennedy et Johnson, le Vietnam, le Watergate et d'autres histoires se déroulent à travers la perspective d'un homme d'Alabama avec un QI de 75."
Fight Club,"8,8",12.0,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf']",États-Unis,"Langue
Anglais",10 novembre 1999 (France),"Sociétés de production
Fox 2000 PicturesNew Regency ProductionsLinson Films",Un employé de bureau insomniaque et un fabriquant de savons forment un club de combat clandestin qui devient beaucoup plus que ça.
Inception,"8,8",13.0,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page']",États-Unis,"Langues
AnglaisJaponaisFrançais",21 juillet 2010 (France),"Lieux de tournage
Fortress Mountain, Kananaskis Country, Alberta, Canada","Un voleur qui s'approprie des secrets d'entreprise à l'aide d'une technique de partage de rêves se voit contraint d'effectuer la tâche inverse : implanter une idée dans l'esprit d'un PDG, pour revoir ses enfants."
Le Seigneur des anneaux : Les Deux Tours,"8,8",14.0,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",Nouvelle-Zélande,"Langues
AnglaisSindarinVieil anglais",18 décembre 2002 (France),"Lieux de tournage
Hinuera Valley, Matamata, Waikato, Nouvelle-Zélande","Tandis que Frodon et Sam se rapprochent de Mordor avec l'aide de Gollum, la communauté divisée prend position contre le nouvel allié de Sauron, Saruman, et ses hordes d'Isengard."
L'Empire contre-attaque,"8,7",15.0,Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",États-Unis,Anglais,20 août 1980 (France),Lucasfilm,"Après que les rebelles soient brutalement maîtrisés par l'Empire sur la planète de glace Hoth, Luke Skywalker commence son entraînement de Jedi avec Yoda, tandis que ses amis sont poursuivis par Dark Vador."
Matrix,"8,7",16.0,Lana Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",États-Unis,"Langue
Anglais",23 juin 1999 (France),"Sociétés de production
Warner Bros.Village Roadshow PicturesGroucho Film Partnership",Un pirate informatique découvre par de mystérieux rebelles la véritable nature de sa réalité et son rôle dans la guerre contre ceux qui la contrôlent.
Les affranchis,"8,7",17.0,Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']",États-Unis,Italien,12 septembre 1990 (France),Warner Bros.,"L'histoire d'Henry Hill et de sa vie dans la mafia, couvrant ses relations avec son épouse Karen Hill et ses partenaires de la mafia Jimmy Conway et Tommy DeVito dans le syndicat du crime italo-américain."
Vol au-dessus d'un nid de coucou,"8,7",18.0,Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman']",États-Unis,"Lieux de tournage
Oregon State Mental Hospital - 2600 Center Street NE, Salem, Oregon, États-Unis",1 mars 1976 (France),Voir plus de crédits d'entreprise sur IMDbPro,Un criminel plaide la folie après s'être à nouveau attiré des ennuis et une fois interné se rebelle contre l'infirmière oppressante et rallie les patients effrayés.
Seven,"8,6",19.0,David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']",États-Unis,"Aussi connu sous le nom de
Se7en",31 janvier 1996 (France),Juno Pix,"Deux détectives, une recrue et un ancien combattant, chassent un tueur en série qui utilise les sept péchés capitaux comme motif pour tuer."
Les 7 Samouraïs,"8,7",20.0,Akira Kurosawa,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima']",Japon,"Lieux de tournage
Izu Peninsula, Shizuoka, Japon",30 novembre 1955 (France),,Un village pauvre qui est la cible des attaques de bandits recrute sept samouraïs sans maître pour les défendre.
La vie est belle,"8,7",21.0,Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore']",États-Unis,Français,28 juillet 1948 (France),Liberty Films (II),Un ange est envoyé sur Terre pour aider un homme d'affaires désespérément frustré et lui montrer à quoi la vie aurait ressemblé s'il n'avait jamais existé.
Le Silence des agneaux,"8,6",22.0,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney']",États-Unis,Latin,10 avril 1991 (France),Strong Heart/Demme Production,"Une jeune élève officier du FBI doit obtenir l'aide d'un tueur cannibale et manipulateur incarcéré afin d'aider à attraper un autre tueur en série, un fou qui retire la peau de ses victimes."
